"","polyspinis_2013","polyspinis_2015","polyspinis_2017","polyspinis_2019"
"6265",12.2904164936299,5.18168546877159,30.2795705243053,5.35850917609253
"6266",8.48364128832533,3.70654543296947,13.412421869192,2.4274148255259
"6267",9.59268581235644,2.50572107722112,8.86130494309393,2.4245839414878
"6268",4.83003731839351,1.43561759596254,2.50202340220204,19.8776365523525
"6269",4.21165186721327,1.5330805841866,2.36286204507952,18.6638353929926
"6270",1.26446718629543,2.68583977136045,1.66709828995228,26.1804022291562
"6271",5.85880209543462,3.18354341316647,21.6647350317213,2.37960506750269
"6272",9.18363179517644,6.26100784025426,38.1477519881186,3.54590690354928
"6273",6.91481705668401,3.42312887855506,20.9553844294327,2.38589772947997
"6274",9.65811119504447,5.96279510078633,32.5925641324354,3.20338419708958
"6275",5.43420577268309,1.49331572414379,2.69279538176307,21.1193054841764
"6276",7.34431926982563,2.0221814922636,4.27475049020985,25.3043421034035
"6277",21.4205074502449,19.1584271122795,96.1687638165413,8.35893945485356
"6278",1.93764181138857,7.51733555469985,3.80866591229396,47.598284208715
"6279",1.11362946755386,4.28825563286761,1.68644288447212,32.8912161088185
"6280",10.9569744857907,4.64151829145038,14.9631948712877,3.1246366613132
"6281",27.7117273924743,30.9673194811737,138.762141112515,10.1560195680432
"6282",9.54914545495615,2.64177679606001,6.55674608341045,29.1928340334925
"6283",33.4009491187247,56.0516289478851,212.251279161771,10.2098039522901
"6284",0.731744163924649,3.60683636598718,1.15336134700702,22.8245598442857
"6285",32.4631165988114,65.787780443252,233.985162983249,8.92581522280403
"6286",0.114715775240016,1.0651821781689,2.80614620738411,0.187503686171633
"6287",11.642699916335,3.24033789720729,9.42724289041512,31.66771904135
"6288",35.1157284593694,85.8380574050805,287.003415362309,8.67272473485439
"6289",9.84845907738622,4.12518957515749,12.2067011650922,2.8339649617128
"6290",8.528224840392,3.88495859724639,10.5562313021436,2.80478181425837
"6291",0.52162761423451,3.32615447226242,0.867168815010709,17.3492275528569
"6292",0.594389152180792,4.44399260593715,0.995190964083842,19.1113289390968
"6293",39.1245704392494,65.8505500672982,252.346199992247,10.0848141552672
"6294",0.000408844571711179,0.00284485609364033,0.00769111431647691,0.000557283472204702
"6295",36.9092292707226,44.1370283182267,177.523761793832,10.03210901942
"6296",16.3388498077913,4.58465691855451,15.584630535929,39.6107298596856
"6297",28.3660399835217,7.69802834268842,37.9310880127057,51.1123829543367
"6298",58.7455693716488,26.1556970501495,118.764369979568,19.05527602367
"6299",39.1809484417863,10.0939267793008,76.995458800623,49.3408681120068
"6300",24.5457767707904,7.43777713124921,45.5370681348049,8.1207512460439
"6301",11.0231781759396,2.38929940942729,19.2800489779846,3.76610400287965
"6302",7.51866644689222,1.4383043252864,14.3595581213024,2.37430070469334
"6303",41.9427329931095,10.217626540121,118.598257354486,37.0276583515731
"6304",63.8410405084954,14.6306491340444,250.47546600369,39.6938440713959
"6305",4.00726012791305,0.676093517984115,8.57136378663137,1.16730622538335
"6306",0.428496838606797,2.39540305637715,0.608779546578274,10.9835957865158
"6307",0.529626340114695,2.19958612410268,0.630465154898922,10.1584058951856
"6308",6.5953533393531,1.00231009355738,13.5799777828273,1.80230811777331
"6309",6.51225747071108,0.883617369274871,13.8238932271307,1.65685189692505
"6310",6.06355895563901,0.74952904354395,13.181119165657,1.28115142130928
"6311",5.63140053717359,3.62526451450735,9.05280288657137,2.99149863478062
"6312",0.0217914284016324,0.0197473371306595,0.0451152655267663,0.0186712968139112
